,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_min_impurity_decrease,param_max_depth,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.0031908035278320314,0.0007462130924321561,0.0007994651794433593,0.0003997394865374575,entropy,0.0,,,"{'criterion': 'entropy', 'min_impurity_decrease': 0.0}",0.625,0.625,0.70625,0.675,0.7125,0.66875,0.03791437722025777,113,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1,0.0031982898712158204,0.00040290052561333864,0.0,0.0,entropy,0.00020408163265306123,,,"{'criterion': 'entropy', 'min_impurity_decrease': 0.00020408163265306123}",0.60625,0.61875,0.7125,0.65625,0.7,0.6587500000000001,0.0423157771995269,121,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2,0.0029802799224853517,0.0006202128257801319,0.0,0.0,entropy,0.00040816326530612246,,,"{'criterion': 'entropy', 'min_impurity_decrease': 0.00040816326530612246}",0.61875,0.65,0.70625,0.66875,0.7125,0.6712499999999999,0.03504461442219047,112,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3,0.002992057800292969,0.0006228123730794401,0.0001995563507080078,0.0003991127014160156,entropy,0.0006122448979591836,,,"{'criterion': 'entropy', 'min_impurity_decrease': 0.0006122448979591836}",0.61875,0.63125,0.69375,0.65625,0.7125,0.6625,0.035794552658190884,117,1.0,1.0,1.0,1.0,1.0,1.0,0.0
4,0.0027872562408447266,0.0003965742184832213,0.0001994609832763672,0.00039892196655273444,entropy,0.0008163265306122449,,,"{'criterion': 'entropy', 'min_impurity_decrease': 0.0008163265306122449}",0.61875,0.6375,0.725,0.6625,0.7125,0.67125,0.04138236339311712,111,1.0,1.0,1.0,1.0,1.0,1.0,0.0
5,0.002599191665649414,0.00048032963166133423,0.0,0.0,entropy,0.0010204081632653062,,,"{'criterion': 'entropy', 'min_impurity_decrease': 0.0010204081632653062}",0.64375,0.625,0.70625,0.65,0.6875,0.6625,0.02984334096578331,117,1.0,1.0,1.0,1.0,1.0,1.0,0.0
6,0.0025922298431396485,0.00048571721324489287,0.00039930343627929686,0.000489045672592973,entropy,0.0012244897959183673,,,"{'criterion': 'entropy', 'min_impurity_decrease': 0.0012244897959183673}",0.6375,0.61875,0.6625,0.66875,0.7125,0.66,0.031770662567847094,119,0.9953125,0.9921875,0.996875,1.0,0.9953125,0.9959374999999999,0.00253876200144873
7,0.0025907516479492187,0.00048705811618703933,0.0003985881805419922,0.0004881691151992473,entropy,0.0014285714285714286,,,"{'criterion': 'entropy', 'min_impurity_decrease': 0.0014285714285714286}",0.65,0.6375,0.725,0.66875,0.71875,0.68,0.03566335654421776,107,0.996875,0.9890625,0.9828125,0.996875,0.9953125,0.9921875,0.005502130269268443
8,0.0025947093963623047,0.0004883396869947176,0.00020012855529785156,0.0004002571105957031,entropy,0.0016326530612244899,,,"{'criterion': 'entropy', 'min_impurity_decrease': 0.0016326530612244899}",0.6375,0.61875,0.73125,0.69375,0.7,0.6762499999999999,0.04172079817069658,109,0.9890625,0.9890625,0.98125,0.9984375,0.9890625,0.9893749999999999,0.0054486236794258494
9,0.002793121337890625,0.0003810975345230663,0.00019822120666503906,0.0003964424133300781,entropy,0.0018367346938775511,,,"{'criterion': 'entropy', 'min_impurity_decrease': 0.0018367346938775511}",0.675,0.64375,0.73125,0.65,0.70625,0.68125,0.03330728148618555,106,0.9375,0.9734375,0.9734375,0.996875,0.9671875,0.9696874999999998,0.019024039069030513
10,0.0023931026458740234,0.0004885387765992848,0.0005985260009765625,0.0004886945264472148,entropy,0.0020408163265306124,,,"{'criterion': 'entropy', 'min_impurity_decrease': 0.0020408163265306124}",0.6875,0.6375,0.725,0.6625,0.75,0.6925,0.040773766075750235,103,0.91875,0.9640625,0.9578125,0.9828125,0.9453125,0.9537500000000001,0.021277555663186513
11,0.002398395538330078,0.0004870759487928667,0.00019993782043457032,0.0003998756408691407,entropy,0.0022448979591836735,,,"{'criterion': 'entropy', 'min_impurity_decrease': 0.0022448979591836735}",0.68125,0.675,0.74375,0.6875,0.75,0.7075,0.03245188746436792,97,0.9078125,0.9546875,0.9609375,0.959375,0.94375,0.9453125,0.0196899800025292
12,0.0021887302398681642,0.00040074991387757577,0.0005987167358398437,0.0004888528266825311,entropy,0.0024489795918367346,,,"{'criterion': 'entropy', 'min_impurity_decrease': 0.0024489795918367346}",0.7125,0.6875,0.75625,0.675,0.7625,0.71875,0.03535533905932735,94,0.9,0.9375,0.9515625,0.9546875,0.94375,0.9375,0.0196899800025292
13,0.0019939899444580077,2.4314019744838644e-07,0.0001995086669921875,0.000399017333984375,entropy,0.002653061224489796,,,"{'criterion': 'entropy', 'min_impurity_decrease': 0.002653061224489796}",0.7375,0.71875,0.76875,0.675,0.76875,0.73375,0.03504461442219047,89,0.8875,0.9203125,0.9390625,0.9375,0.934375,0.9237499999999998,0.019299247070805655
14,0.002194786071777344,0.0004019033691722771,0.0003986358642578125,0.0004882287205812277,entropy,0.002857142857142857,,,"{'criterion': 'entropy', 'min_impurity_decrease': 0.002857142857142857}",0.74375,0.75625,0.76875,0.71875,0.775,0.7525,0.020000000000000007,81,0.878125,0.9109375,0.9265625,0.9203125,0.9171875,0.9106250000000001,0.017013321986020225
